년도,구분,채소_묶음_분류,시도,면적_계,단수_계,생산량_계,노지_면적,노지_단수,노지_생산량,시설_면적,시설_단수,시설_생산량
"2013","광 주","근 채 류","고 랭 지 무","0","0","0","0","0","0","0","0",0
"2013","대 전","근 채 류","고 랭 지 무","0","0","0","0","0","0","0","0",0
"2013","울 산","근 채 류","고 랭 지 무","0","0","0","0","0","0","0","0",0
"2013","경 기","근 채 류","고 랭 지 무","0","0","0","0","0","0","0","0",0
"2013","강 원","근 채 류","고 랭 지 무","0","0","0","2015","2803","56480","0","0",0
"2013","충 북","근 채 류","고 랭 지 무","0","0","0","0","0","0","0","0",0
"2013","충 남","근 채 류","고 랭 지 무","0","0","0","0","0","0","0","0",0
"2013","전 북","근 채 류","고 랭 지 무","0","0","0","79","2540","2007","0","0",0
"2013","전 남","근 채 류","고 랭 지 무","0","0","0","0","0","0","0","0",0
"2013","경 북","근 채 류","고 랭 지 무","0","0","0","74","2846","2106","0","0",0
"2013","경 남","근 채 류","고 랭 지 무","0","0","0","27","3560","961","0","0",0
"2013","제 주","근 채 류","고 랭 지 무","0","0","0","0","0","0","0","0",0
"2013","(세 종)","근 채 류","고 랭 지 무","0","0","0","0","0","0","0","0",0
"2013","전 국","근 채 류","가을 일반무","6706","8908","597352","0","0","0","0","0",0
"2013","서 울","근 채 류","가을 일반무","6","8494","510","0","0","0","0","0",0
"2013","부 산","근 채 류","가을 일반무","40","8102","3241","0","0","0","0","0",0
